repo,path,bucket,bytes,lines,tokens_4,tokens_35
pi,packages/ai/test/xiaomi-token-plan-ams-anthropic-empty-signature-smoke.test.ts,test,3588,114,897,1025
pi,packages/ai/test/zen.test.ts,test,849,25,212,243
pi,packages/ai/tsconfig.build.json,config,208,9,52,59
pi,packages/ai/vitest.config.ts,source,190,9,48,54
pi,packages/coding-agent/.gitignore,config,12,1,3,3
pi,packages/coding-agent/CHANGELOG.md,docs,428856,4706,107157,122465
pi,packages/coding-agent/README.md,docs,30260,687,7559,8639
pi,packages/coding-agent/docs/compaction.md,docs,17088,394,3902,4459
pi,packages/coding-agent/docs/containerization.md,docs,4522,111,1130,1292
pi,packages/coding-agent/docs/custom-provider.md,docs,26017,737,6504,7433
pi,packages/coding-agent/docs/development.md,docs,1483,71,371,424
pi,packages/coding-agent/docs/docs.json,config,3038,156,760,868
pi,packages/coding-agent/docs/extensions.md,docs,103350,2676,25685,29354
pi,packages/coding-agent/docs/images/doom-extension.png,asset,171987,0,0,0
pi,packages/coding-agent/docs/images/exy.png,asset,1510779,0,0,0
pi,packages/coding-agent/docs/images/interactive-mode.png,asset,329142,0,0,0
pi,packages/coding-agent/docs/images/tree-view.png,asset,281981,0,0,0
pi,packages/coding-agent/docs/index.md,docs,3158,82,790,902
pi,packages/coding-agent/docs/json.md,docs,3285,82,821,939
pi,packages/coding-agent/docs/keybindings.md,docs,8919,197,2230,2548
pi,packages/coding-agent/docs/models.md,docs,18431,493,4607,5265
pi,packages/coding-agent/docs/packages.md,docs,8444,227,2111,2413
pi,packages/coding-agent/docs/prompt-templates.md,docs,2858,95,712,814
pi,packages/coding-agent/docs/providers.md,docs,11690,274,2920,3337
pi,packages/coding-agent/docs/quickstart.md,docs,4480,165,1120,1280
pi,packages/coding-agent/docs/rpc.md,docs,35961,1412,8990,10275
pi,packages/coding-agent/docs/sdk.md,docs,33809,1143,8452,9660
pi,packages/coding-agent/docs/security.md,docs,5287,59,1322,1511
pi,packages/coding-agent/docs/session-format.md,docs,14344,412,3576,4087
pi,packages/coding-agent/docs/sessions.md,docs,5340,145,1320,1508
pi,packages/coding-agent/docs/settings.md,docs,12631,308,3158,3609
pi,packages/coding-agent/docs/shell-aliases.md,docs,356,13,89,102
pi,packages/coding-agent/docs/skills.md,docs,6897,231,1708,1952
pi,packages/coding-agent/docs/terminal-setup.md,docs,5171,148,1292,1477
pi,packages/coding-agent/docs/termux.md,docs,3213,127,803,918
pi,packages/coding-agent/docs/themes.md,docs,7995,295,1998,2283
pi,packages/coding-agent/docs/tmux.md,docs,2041,63,507,580
pi,packages/coding-agent/docs/tui.md,docs,30191,927,7542,8619
pi,packages/coding-agent/docs/usage.md,docs,13716,306,3429,3919
pi,packages/coding-agent/docs/windows.md,docs,394,17,98,113
pi,packages/coding-agent/examples/README.md,docs,906,25,226,259
pi,packages/coding-agent/examples/extensions/README.md,docs,9778,211,2444,2794
pi,packages/coding-agent/examples/extensions/auto-commit-on-exit.ts,source,1571,49,393,449
pi,packages/coding-agent/examples/extensions/bash-spawn-hook.ts,source,696,30,174,199
pi,packages/coding-agent/examples/extensions/bookmark.ts,source,1555,50,389,444
pi,packages/coding-agent/examples/extensions/border-status-editor.ts,source,4440,150,1102,1260
pi,packages/coding-agent/examples/extensions/built-in-tool-renderer.ts,source,8295,249,2074,2370
pi,packages/coding-agent/examples/extensions/claude-rules.ts,source,2488,86,622,711
pi,packages/coding-agent/examples/extensions/commands.ts,source,2594,72,648,741
pi,packages/coding-agent/examples/extensions/confirm-destructive.ts,source,1680,59,420,480
pi,packages/coding-agent/examples/extensions/custom-compaction.ts,source,4279,127,1070,1223
pi,packages/coding-agent/examples/extensions/custom-footer.ts,source,2149,64,536,613
pi,packages/coding-agent/examples/extensions/custom-header.ts,source,2408,73,601,687
pi,packages/coding-agent/examples/extensions/custom-provider-anthropic/.gitignore,config,14,1,4,4
pi,packages/coding-agent/examples/extensions/custom-provider-anthropic/index.ts,source,19157,604,4789,5473
pi,packages/coding-agent/examples/extensions/custom-provider-anthropic/package-lock.json,config,653,24,163,187
pi,packages/coding-agent/examples/extensions/custom-provider-anthropic/package.json,config,375,19,94,107
pi,packages/coding-agent/examples/extensions/custom-provider-gitlab-duo/.gitignore,config,14,1,4,4
pi,packages/coding-agent/examples/extensions/custom-provider-gitlab-duo/index.ts,source,12050,400,3012,3443
pi,packages/coding-agent/examples/extensions/custom-provider-gitlab-duo/package.json,config,317,16,79,91
pi,packages/coding-agent/examples/extensions/custom-provider-gitlab-duo/test.ts,source,2690,82,672,769
pi,packages/coding-agent/examples/extensions/dirty-repo-guard.ts,source,1479,56,370,423
pi,packages/coding-agent/examples/extensions/doom-overlay/.gitignore,config,41,2,10,12
pi,packages/coding-agent/examples/extensions/doom-overlay/README.md,docs,1322,46,330,377
pi,packages/coding-agent/examples/extensions/doom-overlay/doom-component.ts,source,3645,132,910,1040
pi,packages/coding-agent/examples/extensions/doom-overlay/doom-engine.ts,source,4914,173,1228,1404
pi,packages/coding-agent/examples/extensions/doom-overlay/doom-keys.ts,source,3495,104,874,999
pi,packages/coding-agent/examples/extensions/doom-overlay/doom/build.sh,text-other,3366,152,842,962
pi,packages/coding-agent/examples/extensions/doom-overlay/doom/build/doom.js,generated,64607,21,16152,18459
pi,packages/coding-agent/examples/extensions/doom-overlay/doom/build/doom.wasm,generated,380169,0,0,0
pi,packages/coding-agent/examples/extensions/doom-overlay/doom/doomgeneric_pi.c,source,1709,72,427,488
pi,packages/coding-agent/examples/extensions/doom-overlay/index.ts,source,2117,74,529,605
pi,packages/coding-agent/examples/extensions/doom-overlay/wad-finder.ts,source,1552,51,388,443
pi,packages/coding-agent/examples/extensions/dynamic-resources/SKILL.md,docs,177,8,44,51
pi,packages/coding-agent/examples/extensions/dynamic-resources/dynamic.json,config,2035,79,509,581
pi,packages/coding-agent/examples/extensions/dynamic-resources/dynamic.md,docs,160,5,40,46
pi,packages/coding-agent/examples/extensions/dynamic-resources/index.ts,source,457,15,114,131
pi,packages/coding-agent/examples/extensions/dynamic-tools.ts,source,2211,74,553,632
pi,packages/coding-agent/examples/extensions/event-bus.ts,source,1348,43,337,385
pi,packages/coding-agent/examples/extensions/file-trigger.ts,source,1033,41,258,295
pi,packages/coding-agent/examples/extensions/git-checkpoint.ts,source,1468,53,367,419
pi,packages/coding-agent/examples/extensions/git-merge-and-resolve.ts,source,4108,115,1027,1174
